PriceArea,HourUTC,SpotPriceDKK,SpotPriceEUR,transform_date
NO2,2024-01-01 13:00:00.000000 UTC,462.640015,62.060001,2025-10-16
DE,2024-01-01 14:00:00.000000 UTC,27.280001,3.66,2025-10-16
DK2,2024-01-01 14:00:00.000000 UTC,377.290009,50.610001,2025-10-16
SE3,2024-01-01 14:00:00.000000 UTC,377.290009,50.610001,2025-10-16
DK1,2024-01-01 14:00:00.000000 UTC,377.290009,50.610001,2025-10-16
SE4,2024-01-01 14:00:00.000000 UTC,377.290009,50.610001,2025-10-16
SYSTEM,2024-01-01 14:00:00.000000 UTC,439.230011,58.919998,2025-10-16
NO2,2024-01-01 14:00:00.000000 UTC,466.070007,62.52,2025-10-16
DE,2024-01-01 15:00:00.000000 UTC,321.0,43.060001,2025-10-16
SE4,2024-01-01 15:00:00.000000 UTC,443.329987,59.470001,2025-10-16
SE3,2024-01-01 15:00:00.000000 UTC,443.329987,59.470001,2025-10-16
DK1,2024-01-01 15:00:00.000000 UTC,443.329987,59.470001,2025-10-16
DK2,2024-01-01 15:00:00.000000 UTC,443.329987,59.470001,2025-10-16
SYSTEM,2024-01-01 15:00:00.000000 UTC,466.73999,62.610001,2025-10-16
NO2,2024-01-01 15:00:00.000000 UTC,471.070007,63.189999,2025-10-16
DE,2024-01-01 16:00:00.000000 UTC,372.220001,49.93,2025-10-16
SYSTEM,2024-01-01 16:00:00.000000 UTC,481.950012,64.650002,2025-10-16
DK1,2024-01-01 16:00:00.000000 UTC,484.480011,64.989998,2025-10-16
SE4,2024-01-01 16:00:00.000000 UTC,484.480011,64.989998,2025-10-16
NO2,2024-01-01 16:00:00.000000 UTC,484.480011,64.989998,2025-10-16
DK2,2024-01-01 16:00:00.000000 UTC,484.480011,64.989998,2025-10-16
SE3,2024-01-01 16:00:00.000000 UTC,484.480011,64.989998,2025-10-16
DE,2024-01-01 17:00:00.000000 UTC,432.380005,58.0,2025-10-16
SE3,2024-01-01 17:00:00.000000 UTC,460.26001,61.740002,2025-10-16
SE4,2024-01-01 17:00:00.000000 UTC,460.26001,61.740002,2025-10-16
DK1,2024-01-01 17:00:00.000000 UTC,460.26001,61.740002,2025-10-16
DK2,2024-01-01 17:00:00.000000 UTC,460.26001,61.740002,2025-10-16
SYSTEM,2024-01-01 17:00:00.000000 UTC,469.5,62.98,2025-10-16
NO2,2024-01-01 17:00:00.000000 UTC,473.970001,63.580002,2025-10-16
DE,2024-01-01 18:00:00.000000 UTC,404.420013,54.25,2025-10-16
SE3,2024-01-01 18:00:00.000000 UTC,410.529999,55.07,2025-10-16
SE4,2024-01-01 18:00:00.000000 UTC,410.529999,55.07,2025-10-16
DK2,2024-01-01 18:00:00.000000 UTC,410.529999,55.07,2025-10-16
DK1,2024-01-01 18:00:00.000000 UTC,456.75,61.27,2025-10-16
SYSTEM,2024-01-01 18:00:00.000000 UTC,464.359985,62.290001,2025-10-16
NO2,2024-01-01 18:00:00.000000 UTC,470.399994,63.099998,2025-10-16
DE,2024-01-01 19:00:00.000000 UTC,357.899994,48.009998,2025-10-16
SE3,2024-01-01 19:00:00.000000 UTC,357.899994,48.009998,2025-10-16
DK2,2024-01-01 19:00:00.000000 UTC,357.899994,48.009998,2025-10-16
SE4,2024-01-01 19:00:00.000000 UTC,357.899994,48.009998,2025-10-16
SYSTEM,2024-01-01 19:00:00.000000 UTC,409.790009,54.970001,2025-10-16
DK1,2024-01-01 19:00:00.000000 UTC,447.059998,59.970001,2025-10-16
NO2,2024-01-01 19:00:00.000000 UTC,463.309998,62.150002,2025-10-16
DE,2024-01-01 20:00:00.000000 UTC,320.179993,42.950001,2025-10-16
DK2,2024-01-01 20:00:00.000000 UTC,328.079987,44.009998,2025-10-16
SE3,2024-01-01 20:00:00.000000 UTC,328.079987,44.009998,2025-10-16
SE4,2024-01-01 20:00:00.000000 UTC,328.079987,44.009998,2025-10-16
SYSTEM,2024-01-01 20:00:00.000000 UTC,357.160004,47.91,2025-10-16
DK1,2024-01-01 20:00:00.000000 UTC,409.420013,54.919998,2025-10-16
NO2,2024-01-01 20:00:00.000000 UTC,434.390015,58.27,2025-10-16
DK2,2024-01-01 21:00:00.000000 UTC,336.959991,45.200001,2025-10-16
SE3,2024-01-01 21:00:00.000000 UTC,336.959991,45.200001,2025-10-16
SE4,2024-01-01 21:00:00.000000 UTC,336.959991,45.200001,2025-10-16
SYSTEM,2024-01-01 21:00:00.000000 UTC,349.480011,46.880001,2025-10-16
DE,2024-01-01 21:00:00.000000 UTC,351.040009,47.09,2025-10-16
DK1,2024-01-01 21:00:00.000000 UTC,355.220001,47.650002,2025-10-16
NO2,2024-01-01 21:00:00.000000 UTC,391.970001,52.580002,2025-10-16
DE,2024-01-01 22:00:00.000000 UTC,265.019989,35.549999,2025-10-16
DK1,2024-01-01 22:00:00.000000 UTC,265.019989,35.549999,2025-10-16
DK2,2024-01-01 22:00:00.000000 UTC,283.279999,38.0,2025-10-16
SE3,2024-01-01 22:00:00.000000 UTC,283.279999,38.0,2025-10-16
SE4,2024-01-01 22:00:00.000000 UTC,283.279999,38.0,2025-10-16
SYSTEM,2024-01-01 22:00:00.000000 UTC,299.160004,40.130001,2025-10-16
NO2,2024-01-01 22:00:00.000000 UTC,328.230011,44.029999,2025-10-16
DE,2024-01-06 08:00:00.000000 UTC,687.909973,92.230003,2025-10-16
DK1,2024-01-06 08:00:00.000000 UTC,687.909973,92.230003,2025-10-16
DK1,2024-01-06 09:00:00.000000 UTC,725.72998,97.300003,2025-10-16
DE,2024-01-06 09:00:00.000000 UTC,725.72998,97.300003,2025-10-16
NO2,2024-01-06 09:00:00.000000 UTC,748.929993,100.410004,2025-10-16
DK2,2024-01-06 09:00:00.000000 UTC,748.929993,100.410004,2025-10-16
SE4,2024-01-06 09:00:00.000000 UTC,748.929993,100.410004,2025-10-16
SE3,2024-01-06 09:00:00.000000 UTC,748.929993,100.410004,2025-10-16
SYSTEM,2024-01-06 09:00:00.000000 UTC,820.159973,109.959999,2025-10-16
DE,2024-01-06 10:00:00.000000 UTC,749.070007,100.43,2025-10-16
DK1,2024-01-06 10:00:00.000000 UTC,749.070007,100.43,2025-10-16
SE3,2024-01-06 10:00:00.000000 UTC,773.090027,103.650002,2025-10-16
NO2,2024-01-06 10:00:00.000000 UTC,773.090027,103.650002,2025-10-16
SE4,2024-01-06 10:00:00.000000 UTC,773.090027,103.650002,2025-10-16
DK2,2024-01-06 10:00:00.000000 UTC,773.090027,103.650002,2025-10-16
SYSTEM,2024-01-06 10:00:00.000000 UTC,820.01001,109.940002,2025-10-16
DE,2024-01-06 11:00:00.000000 UTC,739.599976,99.160004,2025-10-16
DK1,2024-01-06 11:00:00.000000 UTC,739.599976,99.160004,2025-10-16
DK2,2024-01-06 11:00:00.000000 UTC,763.25,102.330002,2025-10-16
SE4,2024-01-06 11:00:00.000000 UTC,763.25,102.330002,2025-10-16
SE3,2024-01-06 11:00:00.000000 UTC,763.25,102.330002,2025-10-16
NO2,2024-01-06 11:00:00.000000 UTC,763.25,102.330002,2025-10-16
SYSTEM,2024-01-06 11:00:00.000000 UTC,802.109985,107.540001,2025-10-16
DE,2024-01-06 12:00:00.000000 UTC,710.210022,95.220001,2025-10-16
DK1,2024-01-06 12:00:00.000000 UTC,710.210022,95.220001,2025-10-16
SE4,2024-01-06 12:00:00.000000 UTC,729.080017,97.75,2025-10-16
NO2,2024-01-06 12:00:00.000000 UTC,729.080017,97.75,2025-10-16
SE3,2024-01-06 12:00:00.000000 UTC,729.080017,97.75,2025-10-16
DK2,2024-01-06 12:00:00.000000 UTC,729.080017,97.75,2025-10-16
SYSTEM,2024-01-06 12:00:00.000000 UTC,783.01001,104.980003,2025-10-16
DK1,2024-01-06 13:00:00.000000 UTC,690.299988,92.550003,2025-10-16
DE,2024-01-06 13:00:00.000000 UTC,690.299988,92.550003,2025-10-16
NO2,2024-01-06 13:00:00.000000 UTC,712.380005,95.510002,2025-10-16
SE4,2024-01-06 13:00:00.000000 UTC,712.380005,95.510002,2025-10-16
SE3,2024-01-06 13:00:00.000000 UTC,712.380005,95.510002,2025-10-16
DK2,2024-01-06 13:00:00.000000 UTC,712.380005,95.510002,2025-10-16
SYSTEM,2024-01-06 13:00:00.000000 UTC,771.22998,103.400002,2025-10-16
DE,2024-01-06 14:00:00.000000 UTC,709.23999,95.089996,2025-10-16
DK1,2024-01-06 14:00:00.000000 UTC,709.23999,95.089996,2025-10-16
NO2,2024-01-06 14:00:00.000000 UTC,729.01001,97.739998,2025-10-16
SE4,2024-01-06 14:00:00.000000 UTC,734.679993,98.5,2025-10-16
DK2,2024-01-06 14:00:00.000000 UTC,734.679993,98.5,2025-10-16
SE3,2024-01-06 14:00:00.000000 UTC,734.679993,98.5,2025-10-16
SYSTEM,2024-01-06 14:00:00.000000 UTC,798.669983,107.080002,2025-10-16
DE,2024-01-06 15:00:00.000000 UTC,744.75,99.849998,2025-10-16
DK1,2024-01-06 15:00:00.000000 UTC,744.75,99.849998,2025-10-16
NO2,2024-01-06 15:00:00.000000 UTC,766.97998,102.830002,2025-10-16
SE3,2024-01-06 15:00:00.000000 UTC,820.450012,110.0,2025-10-16
SE4,2024-01-06 15:00:00.000000 UTC,820.450012,110.0,2025-10-16
DK2,2024-01-06 15:00:00.000000 UTC,820.450012,110.0,2025-10-16
SYSTEM,2024-01-06 15:00:00.000000 UTC,953.52002,127.839996,2025-10-16
DE,2024-01-06 16:00:00.000000 UTC,777.719971,104.269997,2025-10-16
DK1,2024-01-06 16:00:00.000000 UTC,780.849976,104.690002,2025-10-16
NO2,2024-01-06 16:00:00.000000 UTC,804.190002,107.82,2025-10-16
SE4,2024-01-06 16:00:00.000000 UTC,882.140015,118.269997,2025-10-16
DK2,2024-01-06 16:00:00.000000 UTC,882.140015,118.269997,2025-10-16
SE3,2024-01-06 16:00:00.000000 UTC,882.140015,118.269997,2025-10-16
SYSTEM,2024-01-06 16:00:00.000000 UTC,984.919983,132.050003,2025-10-16
DE,2024-01-06 17:00:00.000000 UTC,772.940002,103.629997,2025-10-16
DK1,2024-01-06 17:00:00.000000 UTC,774.51001,103.839996,2025-10-16
SE3,2024-01-06 17:00:00.000000 UTC,797.630005,106.940002,2025-10-16
DK2,2024-01-06 17:00:00.000000 UTC,797.630005,106.940002,2025-10-16
NO2,2024-01-06 17:00:00.000000 UTC,797.630005,106.940002,2025-10-16
SE4,2024-01-06 17:00:00.000000 UTC,797.630005,106.940002,2025-10-16
SYSTEM,2024-01-06 17:00:00.000000 UTC,918.460022,123.139999,2025-10-16
DE,2024-01-06 18:00:00.000000 UTC,738.409973,99.0,2025-10-16
DK1,2024-01-06 18:00:00.000000 UTC,740.719971,99.309998,2025-10-16
SE3,2024-01-06 18:00:00.000000 UTC,762.799988,102.269997,2025-10-16
DK2,2024-01-06 18:00:00.000000 UTC,762.799988,102.269997,2025-10-16
SE4,2024-01-06 18:00:00.000000 UTC,762.799988,102.269997,2025-10-16
NO2,2024-01-06 18:00:00.000000 UTC,762.799988,102.269997,2025-10-16
SYSTEM,2024-01-06 18:00:00.000000 UTC,817.619995,109.620003,2025-10-16
DE,2024-01-06 19:00:00.000000 UTC,687.23999,92.139999,2025-10-16
DK1,2024-01-06 19:00:00.000000 UTC,687.909973,92.230003,2025-10-16
SE4,2024-01-06 19:00:00.000000 UTC,708.419983,94.980003,2025-10-16
SE3,2024-01-06 19:00:00.000000 UTC,708.419983,94.980003,2025-10-16
NO2,2024-01-06 19:00:00.000000 UTC,708.419983,94.980003,2025-10-16
DK2,2024-01-06 19:00:00.000000 UTC,708.419983,94.980003,2025-10-16
SYSTEM,2024-01-06 19:00:00.000000 UTC,754.440002,101.150002,2025-10-16
DE,2024-01-06 20:00:00.000000 UTC,656.359985,88.0,2025-10-16
DK1,2024-01-06 20:00:00.000000 UTC,656.359985,88.0,2025-10-16
SE3,2024-01-06 20:00:00.000000 UTC,675.97998,90.629997,2025-10-16
NO2,2024-01-06 20:00:00.000000 UTC,675.97998,90.629997,2025-10-16
DK2,2024-01-06 20:00:00.000000 UTC,675.97998,90.629997,2025-10-16
SE4,2024-01-06 20:00:00.000000 UTC,675.97998,90.629997,2025-10-16
SYSTEM,2024-01-06 20:00:00.000000 UTC,708.5,94.989998,2025-10-16
DE,2024-01-06 21:00:00.000000 UTC,645.700012,86.57,2025-10-16
DK1,2024-01-06 21:00:00.000000 UTC,647.039978,86.75,2025-10-16
SE3,2024-01-06 21:00:00.000000 UTC,666.359985,89.339996,2025-10-16
SE4,2024-01-06 21:00:00.000000 UTC,666.359985,89.339996,2025-10-16
DK2,2024-01-06 21:00:00.000000 UTC,666.359985,89.339996,2025-10-16
NO2,2024-01-06 21:00:00.000000 UTC,666.359985,89.339996,2025-10-16
SYSTEM,2024-01-06 21:00:00.000000 UTC,682.390015,91.489998,2025-10-16
DE,2024-01-06 22:00:00.000000 UTC,595.719971,79.870003,2025-10-16
DK1,2024-01-06 22:00:00.000000 UTC,596.919983,80.029999,2025-10-16
NO2,2024-01-06 22:00:00.000000 UTC,614.820007,82.43,2025-10-16
SE3,2024-01-06 22:00:00.000000 UTC,617.580017,82.800003,2025-10-16
SE4,2024-01-06 22:00:00.000000 UTC,617.580017,82.800003,2025-10-16
DK2,2024-01-06 22:00:00.000000 UTC,617.580017,82.800003,2025-10-16
SYSTEM,2024-01-06 22:00:00.000000 UTC,620.109985,83.139999,2025-10-16
